"skill","avg_salary","demand_count"
"svn","400000","1"
"solidity","179000","1"
"couchbase","160515","1"
"datarobot","155486","1"
"golang","155000","2"
"mxnet","149000","2"
"dplyr","147633","3"
"vmware","147500","1"
"terraform","146734","3"
"twilio","138500","2"
"gitlab","134126","7"
"kafka","129999","40"
"puppet","129820","2"
"keras","127013","3"
"pytorch","125226","20"
"perl","124686","20"
"ansible","124370","2"
"hugging face","123950","2"
"tensorflow","120647","24"
"cassandra","118407","11"
"notion","118092","6"
"atlassian","117966","15"
"bitbucket","116712","6"
"airflow","116387","71"
"scala","115480","59"
